density,density_atomic,formation_energy_per_atom,energy_above_hull,band_gap
4.12405582,9.250628105,-2.292979183,0.000238882,2.382
4.340458692,9.213190869,-1.770816632,0.074481627,0.8444
4.446169184,9.209488112,-1.655275493,0.042483586,0
4.476342317,9.715735351,-1.305006534,0.075806336,0
4.119478453,9.506109087,-2.022051574,0.030351782,0.2257
4.573781678,8.732314652,-1.679438497,0.042025526,0
3.938109418,9.571215334,-2.560924793,0.045920857,0.9157
4.130485312,9.332937129,-2.169968332,0.007208967,1.813
3.13078348,11.41446174,-2.489345151,0.036414228,2.2934
2.562750095,13.08825895,-2.547096334,0.035862551,1.6862
2.646328468,9.74107033,-2.579986831,0.04161875,3.1078
2.770366746,11.41461875,-2.493781409,0.08731325,2.4843
2.517657227,13.27118413,-2.859048764,0.079869681,3.3105
3.087973679,10.24059253,-2.556588108,0.02450655,2.4517
3.076122419,10.28004607,-2.561607267,0.019487392,2.4956
2.596512352,12.98614056,-2.498390798,0.076486836,3.8908
4.769055478,15.75946056,-0.280551904,0.137132968,0
3.154795269,11.59228861,-2.317688476,0.080404494,1.2339
3.982213236,9.465212186,-2.552877422,0.053968228,0.8816
4.459961846,8.966326566,-1.76015624,0.08514202,0
4.557880947,8.983767396,-1.688454932,0.009304147,0
4.464389745,8.946284498,-1.71775346,0.003710564,0
4.200396206,9.322980414,-2.029354766,0.02304859,0
4.188669684,9.203294275,-2.146333923,0.030843375,1.28
4.140704669,9.257037685,-2.132869673,0.112328057,0
5.116782183,9.306797636,-1.390509074,0.056714554,0
4.131816186,9.233253601,-2.292560729,0.000657336,0.0238
4.959982787,9.214935326,-1.575554784,0.101467075,0
3.914711856,9.628420846,-2.567209142,0.039636508,1.3399
4.323282703,10.27506342,-1.457405055,0.106022571,0
3.912705976,9.633356935,-2.567641135,0.039204515,1.6326
3.144240581,10.05733479,-2.546598763,0.034495896,1.953
2.762105897,10.87962797,-2.451864786,0.060426833,0
2.79431653,12.06687718,-2.538807487,0.036070147,4.2417
2.355258849,14.83212105,-2.514931973,0.034757909,2.5331
4.427390067,10.01417925,-1.308468574,0.038804654,0
2.677049228,10.58655042,-2.357492731,0.093510942,3.006
4.381735079,9.637489038,-1.636657191,0.053043498,0.1623
3.127445357,10.82557721,-2.646731119,0.084822927,2.3968
4.459692246,9.451164717,-1.468135599,0.020682105,0
4.39525245,10.08740186,-1.283329183,0.063944045,0
3.030639038,9.899191528,-2.242804088,0.107741555,1.3743
2.555836971,11.20709742,-1.935995514,0.103809483,3.533
4.122477429,9.351066292,-2.166069241,0.011108057,1.7883
3.360513081,10.51244758,-2.393535263,0.136179266,0.8077
4.118292063,9.295906437,-2.247820171,0.006717638,1.8965
4.548672623,9.119092791,-1.566039994,0.049326529,0.0986
4.012074496,9.951226077,-2.189332134,0.050200881,0.7708
4.122778985,9.253493048,-2.293218065,0,2.3536
4.328131204,9.79367033,-2.261610911,0.097342909,0
3.928915113,10.67815863,-2.066174145,0.0978817,0.3907
4.408814043,10.0260195,-1.340744974,0.103234934,0
3.117634969,10.8596425,-2.658347443,0.073206602,2.1822
4.339222884,10.15098696,-2.023807382,0.050504229,0
3.833842943,10.83391236,-1.967952207,0.103037862,0
4.002448714,10.48197786,-2.047400215,0.11665563,0
4.512072982,9.539577309,-1.55769216,0.073710526,0
5.058101499,9.016500235,-1.526706276,0.013044886,0
3.822593397,10.57534459,-2.145365716,0.107623223,0.0377
4.021033255,9.448166147,-2.313883283,0.014175552,1.0745
2.399339388,10.27350262,-2.447090281,0.054992141,1.8235
4.82681846,8.329118702,-1.778827615,0.033257815,0.5853
2.484167791,10.53118434,-2.153874176,0.046587691,2.5771
4.360248919,10.53577748,-1.412752742,0.068554971,0.3566
4.349071823,10.21413436,-1.467809865,0.095617761,0.1898
3.842795603,10.15789356,-2.041748612,0.08229915,0
4.13070342,9.332444334,-2.170326068,0.00685123,1.6803
4.200174407,9.125968461,-2.184916711,0.060281019,0.9489
4.410438734,9.710165782,-2.172369904,0.111056203,1.1787
3.596720232,8.719142144,-2.682679986,0.03026122,2.679
4.033218204,9.812218789,-2.292856827,0.084325787,0.7705
3.89020414,9.547185969,-2.703509464,0.101646504,0
4.447991319,9.023574058,-1.633632855,0.01334026,0
3.512678729,9.511604067,-2.253771112,0.097772685,2.2161
4.278826239,9.137426467,-2.034383115,0.053842444,0.3992
3.307402579,9.392589959,-2.649457052,0.094491216,2.8448
4.073386145,10.04130269,-1.986580084,0.085755724,0.2117
3.12457564,10.74913938,-2.548339753,0.014926681,3.2364
3.519512379,14.94231732,-1.594728773,0,2.6596
3.676411051,9.502406696,-2.739286842,0.025679222,2.7778
3.641578444,9.593299589,-2.730530083,0.034435982,1.9393
3.551755685,9.628796915,-2.884635385,0.017002232,2.4032
3.516287594,9.62131904,-2.967817585,0.002155808,2.8286
3.529591145,9.585054866,-2.963091073,0.006882321,3.055
6.852110307,12.84337143,-1.38329945,0.403315828,0.3094
4.022126152,10.09253683,-2.233801026,0.089337615,0
3.120155187,10.80122591,-2.541570113,0.051557452,2.2976
3.189381662,10.28620217,-2.310007001,0.086988008,0
3.2530234,11.38130632,-2.182334192,0.079942268,2.0048
3.177822672,10.32361713,-2.304294094,0.092700915,0
3.229433053,10.32364533,-2.399479345,0.070764782,0.6224
3.316583324,9.178898292,-2.489023463,0.065823858,2.4911
2.720493056,11.04604348,-2.434147852,0.078143767,0.0443
3.276131522,9.482243324,-2.643476839,0.100471429,3.7381
2.418341149,14.38184118,-2.940133873,0.015792124,3.3411
2.746931034,12.66147489,-2.864508557,0.09141744,2.9578
4.144518429,9.094541114,-2.528090355,0.078755294,0
2.964064506,15.96220999,-0.72353555,0.021103783,0.667
4.16965268,9.039720125,-2.528971146,0.077874504,0.9611
2.92832897,12.20361804,-2.511975481,0.013783898,2.6064
3.26373416,11.46636906,-2.409086726,0.070809289,3.4391
3.076131683,9.752793242,-2.2542778,0.096267843,2.778
3.021369804,12.15939446,-2.480237167,0.068239098,2.8055
2.704104823,12.36910993,-2.100405496,0.001565414,4.2848
3.023115594,11.10989574,-2.541088179,0.022178255,3.2021
3.697490819,9.865107842,-2.278529002,0.101647698,0.0915
2.699062419,9.52313482,-2.436115397,0.016264473,3.7585
2.782485867,13.06131462,-1.877508963,0,3.0917
3.315161251,10.76685238,-2.755912633,0.009870156,2.7522
4.360902892,11.57804946,-2.071417922,0.022486255,2.7654
2.658850169,14.70574828,-1.721083167,0.051216,0.403
2.730950771,12.14089758,-1.731552843,0.057068855,0.274
2.897536397,11.63701495,-2.555444739,0.019432894,3.8745
3.05886004,11.68285171,-2.497934559,0.02782482,2.6887
3.126259688,11.43097881,-2.489713086,0.036046293,2.5805
3.245368781,11.01144759,-2.487822574,0.037936805,2.1192
3.141623439,10.0657131,-2.541778539,0.03931612,2.2702
3.13585964,10.08421417,-2.543119095,0.037975564,2.2066
2.628848093,11.51945157,-2.616678449,0.008993656,4.042
2.402997296,13.80300926,-2.349834855,0.108575853,0
2.898242541,12.91237012,-2.468166043,0.011729972,3.5516
2.935595654,11.48614399,-2.551300823,0.023576811,4.2232
3.52952773,13.82119387,-3.319276115,0,4.1343
3.06865647,10.94501759,-2.56225647,0.001009963,3.3484
3.023785696,11.81836672,-2.492961366,0.032798013,2.5726
2.745435752,13.0165888,-2.446216849,0.07954253,2.4269
2.406512812,14.35382771,-2.423918113,0.051812699,0.0036
2.924599794,12.79600049,-2.42684929,0.053046724,3.5691
2.728414247,10.99571897,-2.267589914,0.08295573,2.8536
3.201405562,11.26575053,-2.172622077,0.09873498,0
3.395627437,8.933087242,-2.405037676,0.09696883,2.0642
2.904179628,11.5875282,-2.282521466,0.049619152,2.9488
2.94199626,11.43858127,-2.247902553,0.084238065,3.4731
2.932672298,11.49759364,-2.540415082,0.034462551,1.7603
2.626814383,11.51580982,-1.973264393,0.083218772,2.6885
2.915922459,10.84482892,-2.48218482,0.098909839,1.7471
3.293975648,11.36109807,-2.381284437,0.098611578,3.6826
2.22254779,12.88769315,-1.942563661,0.097241336,3.4432
2.795396834,11.31241182,-2.51263811,0.068456548,2.4927
3.09004391,11.56495159,-2.482149983,0.043609397,2.3061
2.842879719,12.92282154,-2.479216655,0.06925961,2.8965
